c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment,c_comment
1,Customer#000000001,655 Main St,3,13-859-381-5012,1455.32,AUTOMOBILE,carefully silent blithely special pending unusual blithely silent
2,Customer#000000002,734 Main St,20,99-658-529-4611,3941.3,FURNITURE,slyly pending regular
3,Customer#000000003,285 Main St,4,37-881-444-2674,20.21,AUTOMOBILE,quickly blithely slyly carefully silent
4,Customer#000000004,997 Main St,12,20-665-400-6925,5350.87,AUTOMOBILE,blithely slyly furiously
5,Customer#000000005,876 Main St,7,22-489-384-8428,5992.53,FURNITURE,final unusual express furiously
6,Customer#000000006,664 Main St,2,87-750-275-9751,7020.39,BUILDING,final furiously blithely silent carefully quickly
7,Customer#000000007,795 Main St,1,39-941-132-6168,3412.81,AUTOMOBILE,quickly silent carefully unusual
8,Customer#000000008,512 Main St,12,92-569-246-5339,535.94,HOUSEHOLD,express blithely quickly final unusual furiously silent
9,Customer#000000009,94 Main St,24,16-981-212-3504,5901.9,MACHINERY,special final furiously silent furiously quickly special
10,Customer#000000010,739 Main St,3,97-649-868-5371,7454.58,FURNITURE,express pending special
11,Customer#000000011,740 Main St,23,43-612-880-3927,4584.5,AUTOMOBILE,express blithely blithely pending slyly silent slyly silent
12,Customer#000000012,1 Main St,19,51-600-119-2832,9220.08,FURNITURE,special quickly furiously pending
13,Customer#000000013,498 Main St,2,78-884-228-3103,6257.26,HOUSEHOLD,express quickly regular unusual
14,Customer#000000014,553 Main St,24,98-305-830-6107,3388.92,FURNITURE,quickly regular unusual special special silent
15,Customer#000000015,603 Main St,7,10-172-824-1964,1518.37,AUTOMOBILE,special unusual carefully unusual pending
16,Customer#000000016,958 Main St,18,83-584-348-8749,7882.46,BUILDING,pending regular regular
17,Customer#000000017,479 Main St,23,16-789-769-2612,-333.25,FURNITURE,unusual unusual regular
18,Customer#000000018,433 Main St,5,45-573-355-2235,3874.44,HOUSEHOLD,special furiously quickly
19,Customer#000000019,993 Main St,2,40-270-516-8956,4294.94,MACHINERY,pending special final
20,Customer#000000020,949 Main St,14,46-533-813-8973,702.77,FURNITURE,furiously silent silent carefully
21,Customer#000000021,59 Main St,1,84-588-614-9701,731.77,HOUSEHOLD,quickly special special
